,name,grape,region,variety,rating,notes
52,L'Aventure Estate Cuvee 2011,,"Paso Robles, Central Coast, California",Red Wine,90.0,"A powerful spotlight for the vintage, Estate Cuvée 2011 attacks with plenty of push! Deep purple with an opaque, almost black center. Subtle cigar box aromas above, graphite below, dark fruit all around. The mouth is well balanced, with wood and alcohol integrated seamlessly with the dark purple, vinous fruit. Great acidity and elegant mineral and spice notes carry the wine to an immense finish that lasts…. a long time! As always, our best effort. "
53,L'Aventure Estate Cuvee 2013,,"Central Coast, California",Red Wine,97.0,"The most densely colored of all wines in a vintage of great extraction; Estate Cuvee exhibits a powerful perfume of anise, lavender candies, and dark fruit, with smoky accents in the background. The attack isimpressive, with a velvety mouth feel from start to finish. Rich, robust blue and black fruit, with hints of cocoa,big, but with soft resolved tannins, give a ""total"" palate experience in the finish."
54,L'Aventure Estate Cuvee 2012,,"Paso Robles, Central Coast, California",Red Wine,98.0,"The most densely colored of all wines in a vintage of great extraction; Estate Cuvée 2012 exhibits a powerful perfume of anise, lavender candies, and dark fruit, with smoky accents in the background. The attack is impressive, with a velvety mouth feel from start to finish. Rich, robust blue and black fruit, with hints of cocoa, big, but with soft resolved tannins, give a ""total"" palate experience in the finish. "
55,L'Aventure Estate Cuvee 2014,,"Central Coast, California",Red Wine,98.0,"Blend: 50% Cabernet Sauvignon, 35% Syrah, 15% Petit Verdot"
56,L'Aventure Estate Cuvee 2016,,"Paso Robles, Central Coast, California",Red Wine,99.0,"Blend: 52% Syrah, 32% Cabernet Sauvignon, 16% Petit Verdot"
57,L'Aventure Optimus (1.5 Liter Magnum) 2012,,"Paso Robles, Central Coast, California",Red Wine,94.0,"Bright red and deep blueberry aromas underpinned by soft cola and faint graphite notes hint at the complexity that one finds on the palate. The fruit is seamlessly integrated, and the wine is long and well structured in the mouth.  "
58,L'Aventure Optimus 2005,,"Central Coast, California",Red Wine,94.0,"""The least expensive red wine is the Optimus cuvee. The 2005 Optimus (51% Syrah, 44% Cabernet Sauvignon, and 5% Petit Verdot) barely qualifies as a Rhone Ranger, but it offers classic chocolate, cassis, espresso, and subtle wood notes along with a dense ruby/purple hue, gorgeous concentration, and plenty of spice, cedar, and a Pauillac-like complexity and richness. This serious effort is more French than Californian. It should drink well for 6-10 years. "
59,L'Aventure Optimus 2007,,"Central Coast, California",Red Wine,95.0,"45% Cabernet Sauvignon, 40% Syrah, 15% Petit Verdot. Our best Optimus ever.  Ruby color, with soft aromas of candied currants, fir, and cardamom. A very sharp attack of somewhat high–tone red fruit on the palate cedes to blueberries, black currant, and spicy notes which finish long. 1,400 cases produced "
60,L'Aventure Optimus 2008,,"Central Coast, California",Red Wine,90.0,"48% Cabernet Sauvignon, 28% Syrah, 24% Petit Verdot – is simply luscious. Integrated aromas of fir, graphite, and acacia make an excellent nose. A focused attack of crushed flowers, geranium oil, cherries, and plums wash over the palate, and finish with orange peel and toast. Best Optimus ever?"
61,L'Aventure Optimus 2011,,"Central Coast, California",Red Wine,94.0,"Optimus sets the pace for the vintage with a delicious and classic blend. Purple hued, Optimus 2011 offers aromas of fresh blueberries, sharp cola, and a little anise. The attack is soft and round in the mouth. Firm acidity across the palate stands behind complex tobacco leaf, violet, and red and dark berry flavors. A soft finish, with some spicy wood notes, this wine is very characteristic of the vintage. "
62,L'Aventure Optimus 2015,,"Paso Robles, Central Coast, California",Red Wine,93.0,Optimus is a classically- styled wine that truly embodies oursaying: L’Aventure...where the Bordeaux meets the Rhône!
63,L'Aventure Optimus 2016,,"Willow Creek District, Paso Robles, Central Coast, California",Red Wine,94.0,"The 2016 has balance, silkiness and length. The wine is big, super intense, rich and flavorful but at the same time is super delicate, pure and vibrant. "
64,L'Aventure Optimus 2017,,"Willow Creek District, Paso Robles, Central Coast, California",Red Wine,93.0,"Blend: 50% Syrah, 30% Cabernet Sauvignon, 20% Petit Verdot"
65,L'Aventure Optimus 2012,,"Paso Robles, Central Coast, California",Red Wine,94.0,"Bright red and deep blueberry aromas underpinned by soft cola and faint graphite notes hint at the complexity that one finds on the palate. The fruit is seamlessly integrated, and the wine is long and well structured in the mouth.  "
66,Lavinea Elton Chardonnay 2016,,"Eola-Amity Hills, Willamette Valley, Oregon",White Wine,92.0,"Pale straw in color with chartreuse and silver edge, the nose opens with mineral, wet rocks and umami notes laced with citrus and orange cream soda, and soft anise. The entry is delicate on the palate with a light creamy core, the layers of pears, white peaches, and honeysuckle flavors compete on the flinty and mineral finish. An elegant and long-lasting wine, with fresh layers upon layers which may demand another glass."
67,Lavinea Elton Pinot Noir 2016,,"Eola-Amity Hills, Willamette Valley, Oregon",Red Wine,91.0,"Bright and deep purple in color with a bluish edge, the first nose opens with lovely aromas of sweet cherries in kirsch, fragrant rose and herbaceous rosemary, hints of lavender and boasting fresh cherries. Smooth and lush yet restrained and nervous, the lovely palate travels with a smooth beginning, vibrant core of fresh dark cherries and marionberries, wet bedrock and closing on an elegant finish sustained by silky tannins. The quintessential definition of a beautiful pinot noir, very complete and showing promises of getting better over time."
68,Lavinea Lazy River Pinot Noir 2016,,"Yamhill-Carlton District, Willamette Valley, Oregon",Red Wine,94.0,"Shiny and ruby red with violet hues, deep in color yet crystalline. The first nose reveals approachable boasting aromas of sour cherry, earthy minerals on a finely tightened core. Pure and elegant, the nose opens up towards blueberry and black raspberries as you swirl with hints of earl grey tea and baking spices. Rich and lush with a smooth entry on the palate that carries a lovely velvety texture of refined tannins wrapping finely around the sour cherry & iron fist minerality. Broader, yet with a long finish and a beautiful texture that provides a lasting impression. This highly complex wine with its silky open mouthfeel is a crowd pleaser."
69,Lavinea Nysa Pinot Noir 2016,,"Dundee Hills, Willamette Valley, Oregon",Red Wine,93.0,"Clear and shiny, beautiful purple color with a softer edge, the initial aromas of iron fist mineral, passionfruit and floral notes of orange blossoms & dried lavender open to sweet cherries wrapped around wet stony bedrock notes. A bright and nervous palate entry with a youthful mid palate as it jumps around from classic Dundee Hills cherry fruit to earthy and firm mineral core that tightens on the long finish with finely textured and coating tannins. Overall, a youthful wine with a wonderful structure to age."
70,Lavinea Tualatin Pinot Noir 2016,,"Willamette Valley, Oregon",Red Wine,90.0,"Brilliant and deep purple with a youthful purple edge, lovely initial aromas of rose petals, raspberry cobbler and exotic spices opens in the glass elegantly to fragrant orange blossoms, mixed stone fruit aromas intertwine with lavender notes on a distinctive bedrock character. A smooth entry and soft palate travels along seamlessly, with an elegant texture that lingers on a fresh and focused cherry core. The wine comes full circle with bright pie cherry and pomegranate notes traveling along the seamless finish with supple yet youthful tannins. This wine will seduce greatly by its refinement and polish, with a wonderful aging potential."
71,Lavinea Tualatin Pinot Noir 2017,,"Willamette Valley, Oregon",Red Wine,90.0,"Brilliant and deep ruby with a youthful purple edge, lovely initial aromas of raspberry cobbler, fresh red cherries and hints of rose petals opens in the glass to fragrant orange peel, and mixed berry aromas intertwined with bergamot notes and hints of cardamom.  A smooth entry and soft palate travels along exquisitely, with an elegant texture that lingers on a fresh and focused cherry core.  The wine comes full circle with lively acidity, and notes of fruit and earth that carry the palate seamlessly on a long finish.  This wine is seductively elegant and polished, refreshing and refined."
72,Lavradores de Feitoria Tres Bagos 2003,,Portugal,Red Wine,86.0,
73,Lavradores de Feitoria Tres Bagos 2004,,Portugal,Red Wine,89.0,"Produced from grapes from three different subregions: Baixo Corgo, Cima Corgo and Douro Superior from some of the best viticultural talent in Portugal. The idea behind this novel project is to take advantage of the climatic and terroir advantages that each of the three Douro sub-regions has to offer. The Douro Superior tends to produce wines of greater strength while the Cima Corgo and Baixo Corgo tends to produce wines with higher levels of natural acidity and elegance. "
74,Law Estate Wines Audacious 2016,,"Paso Robles, Central Coast, California",Red Wine,93.0,"32% Grenache, 25% Cabernet Sauvignon, 25% Carignan, 18% Syrah  At the cornerstone of the Law lineup, our Audacious has graciously earned its place in the cellars and hearts of many. On the nose, it exhibits rose petal, vanilla and lavender. The Grenache unveils red currants, while the Cabernet has complementing notes of dark fruit and herbs. The Carignan has found its place in this blend by playing off of the Syrah's succulent salinity and clove like spice. The flavor, complexity and intensity on the palate is certainly adventurous, as this aptly named wine virtually defines itself."
75,Law Estate Wines Sagacious 2016,,"Paso Robles, Central Coast, California",Red Wine,93.0,"36% Grenache, 34% Syrah, 30% Mourvèdre Providing the most complete depiction of our estate vineyard as a whole, the 2016 Sagacious shows sensational complexity that stems from the combination of the three varieties housed in this trademark Paso-style blend. It’s hard to name a better trio, with the dark berries, both fresh and dried sage, heaps of spice and zest like freshness. Strong and structured, its powdered tannins encompass an incredibly long finish that keeps this wine energized to carry its killer density effortlessly."
76,Lawson's Dry Hills Gewurztraminer 2009,,New Zealand,White Wine,90.0,"The 2009 Lawson's Dry Hills Gewürztraminer is a wonderful expression of a great vintage. The wine is luscious and round with gentle acidity, balanced by a hint of sweetness(9.2g/L). Lemon peel, marmalade, candyfloss, coriander, ginger and floral notes can all be found on the nose. The palate is mouthfilling and rich with lovely concentration. Lychee, lemon and Turkish delight flavours lead on to a long spicy finish. As the wine develops it will become more expressive on the nose and increasingly complex."
77,Lawson's Dry Hills Gewurztraminer 2014,,"Marlborough, New Zealand",White Wine,89.0,"The bouquet of this wine is beautifully scented with notes of rose petal, clove, lychee, ginger, citrus and much more... The palate is rich and round with a lovely mid-palate volume and a luscious texture. A sliver of sweetness provides softness to the finish. Overthe next eight to ten years this wine will develop musk, honey and toasty characters, while retaining its distinctive varietal appeal."
78,Lawson's Dry Hills Pinot Noir 2005,,"Marlborough, New Zealand",Red Wine,90.0,: Deep ruby.
79,Lawson's Dry Hills Sauvignon Blanc 2014,,"Marlborough, New Zealand",White Wine,89.0,"Beautiful ripe passion fruit and citrus aromas leap from the glass. The palate display's a full array of flavour's from passion fruit, lime and tropical fruits, through to gentle fresh green herbs. This wine is finely balanced, the dry palate has crisp acidity and a lovely minerality."
80,Layer Cake Cabernet Sauvignon 2010,,California,Red Wine,90.0,"This wine offers generous aromas of ripe Bing cherries, blackberry, candied violets, cedar, and tobacco, plus hints of minerals and graphite. Sweet, densely packed and creamy in the mouth, but with firm, underlying structure that gives lift to the dark berry, chocolate, and coffee flavors. This is a very lush, soft, complex wine that coats the palate and spreads out on the long, lingering finish."
81,Layer Cake Chardonnay 2011,,"Central Coast, California",White Wine,88.0,"The nose is reminiscent of Meyer lemons, preserved then diced up later in the year for seasoning in a meal, wet stones and Kaffir lime blossoms waft in and out as well. The wine builds in body and texture as it sits in your mouth. Layers of Kaffir lime, guava, andpineapple pour in at first, and then the light creamy texture of whipped lemon curd fills in the flavor palate. The finish is clean and crisp, lingering enough to make you want another sip… goahead, we'll make more next year, don't worry."
82,Layer Cake Garnacha 2011,,Spain,Red Wine,90.0,"Our Layer Cake Garnacha from Calatayud, Spain is rich and powerful, yet clean and balanced. Layered with aromas of ultra ripe black fruit. On the palate, the wine shows intense dark fruit with abackground of rich dark chocolate and fresh ground coffee with a long creamy finish. The intensity of flavor from these ancient vines is beautifully offset by the great freshness from the high-altitude vineyards; the Layer Cake Garnacha is not to be overlooked. "
83,Layer Cake Malbec 2008,,Argentina,Red Wine,91.0,"Pure, rich and very elegant; a powerhouse of lush black fruit, silky cocoa, black spice and cream, wrapped around blackberry, cherry and ripe plum.  Layered and complex with a nose to linger over, a finish that never ends.  Sweet anise, hints of tobacco, black chocolate, more cherries and exotic spices, layers of jam.  This wine will stand and perform anytime you think of a Cabernet and want something just a little more exotic.  Born at the base of the Andes and fed by the purest spring waters… this wine is made to be loved."
84,Layer Cake Primitivo aka Zinfandel 2008,,Italy,Red Wine,89.0,"A balance of elegance and power; inky black fruit, spice and white pepper, jammy black cherries, plums, blackberry fruit, truffles, tar, and espresso. Warm and rich in the mouth with a creamy texture; slight notes of chalky Puglia terroir, the ripe fruit is well supported by the deep structure of the wine. Imagine a cool fall evening, a warm blaze crackling in the fireplace, the wine rich and intriguing, like stories told by old friends."
85,Layer Cake Shiraz 2008,,"South Australia, Australia",Red Wine,90.0,"Dark, dense and creamy, complex aromas of black plum, Bing cherry, blackberry and pepper merge with licorice, tobacco, mocha and dark chocolate.  This is one inky Shiraz; an explosion of dark, super ripe, wild blackberry, with a touch of cigar box finishing with a melange of exotic spices. A pure fruit bomb… complete from attack through a long, lingering finish. Chefs will save this cake for themselves…"
86,Layer Cake Shiraz 2009,,"South Australia, Australia",Red Wine,91.0,"Dark, dense and creamy. Aromas of spice, anise, tobacco and mocha emerge from the inky Shiraz; an explosion of dark berry, black cherry, exotic spices and chocolate. Complete from attack through a long, lingering finish. What about the next slice…"
